h2019-02-22 20:46:48,927: 'd'
2019-02-22 20:52:08,130: 't'
2019-02-22 20:52:08,537: 'i'
2019-02-22 20:52:11,948: 'v'
2019-02-22 20:52:12,122: 'e'
2019-02-22 20:52:12,352: Key.shift
2019-02-22 20:52:12,556: ';'
2019-02-22 20:52:13,403: 'y'
2019-02-22 20:52:13,677: 'e'
2019-02-22 20:52:13,893: 's'
2019-02-22 20:52:14,575: Key.enter
2019-02-22 20:52:26,824: Key.cmd
2019-02-22 20:52:27,019: 'x'
2019-02-22 20:56:14,461: Key.cmd
2019-02-22 20:56:14,628: 'r'
2019-02-22 20:56:17,412: 's'
2019-02-22 20:56:17,948: 't'
2019-02-22 20:56:18,390: 'a'
2019-02-22 20:56:18,621: 'r'
2019-02-22 20:56:18,997: 't'
2019-02-22 20:56:19,442: 'u'
2019-02-22 20:56:19,712: 'p'
2019-02-22 20:56:20,008: Key.enter
2019-02-22 20:56:26,441: Key.backspace
2019-02-22 20:56:26,705: Key.backspace
2019-02-22 20:56:27,161: Key.caps_lock
2019-02-22 20:56:27,401: ';'
2019-02-22 20:56:27,889: 's'
2019-02-22 20:56:28,105: 't'
2019-02-22 20:56:28,400: 'a'
2019-02-22 20:56:28,594: 'r'
2019-02-22 20:56:29,085: Key.backspace
2019-02-22 20:56:29,282: Key.backspace
2019-02-22 20:56:29,488: Key.backspace
2019-02-22 20:56:29,783: Key.backspace
2019-02-22 20:56:30,050: Key.backspace
2019-02-22 20:56:30,507: Key.caps_lock
2019-02-22 20:56:31,127: Key.shift
2019-02-22 20:56:31,335: ';'
2019-02-22 20:56:32,456: 's'
2019-02-22 20:56:33,166: 't'
2019-02-22 20:56:33,403: 'a'
2019-02-22 20:56:33,603: 'r'
2019-02-22 20:56:33,809: 't'
2019-02-22 20:56:34,447: 'u'
2019-02-22 20:56:34,704: 'p'
2019-02-22 20:56:35,083: Key.enter
2019-02-22 20:57:22,021: Key.cmd
2019-02-22 20:57:22,229: 'r'
2019-02-22 20:57:23,406: Key.backspace
2019-02-22 20:57:24,446: 's'
2019-02-22 20:57:24,595: 'h'
2019-02-22 20:57:24,754: 'e'
2019-02-22 20:57:24,961: 'l'
2019-02-22 20:57:25,112: 'l'
2019-02-22 20:57:25,567: Key.shift
2019-02-22 20:57:26,054: ';'
2019-02-22 20:57:26,960: 's'
2019-02-22 20:57:27,146: 't'
2019-02-22 20:57:27,343: 'a'
2019-02-22 20:57:27,506: 'r'
2019-02-22 20:57:27,726: 't'
2019-02-22 20:57:28,398: 'u'
2019-02-22 20:57:28,662: 'p'
2019-02-22 20:57:28,903: Key.enter
2019-02-22 20:57:59,293: 's'
2019-02-22 20:57:59,417: 't'
2019-02-22 20:57:59,572: 'a'
2019-02-22 20:57:59,891: 'r'
2019-02-22 20:58:00,061: 't'
2019-02-22 20:58:00,549: Key.backspace
2019-02-22 20:58:00,708: Key.backspace
2019-02-22 20:58:01,149: Key.backspace
2019-02-22 20:58:01,172: Key.backspace
2019-02-22 20:58:01,196: Key.backspace
2019-02-22 20:58:01,221: Key.backspace
2019-02-22 20:58:01,245: Key.backspace
2019-02-22 20:58:01,269: Key.backspace
2019-02-22 20:58:01,293: Key.backspace
2019-02-22 20:58:01,317: Key.backspace
2019-02-22 20:58:01,341: Key.backspace
2019-02-22 20:58:01,491: Key.shift
2019-02-22 20:58:01,764: 's'
2019-02-22 20:58:02,106: 't'
2019-02-22 20:58:02,336: 'r'
2019-02-22 20:58:02,522: 'a'
2019-02-22 20:58:02,701: 't'
2019-02-22 20:58:03,319: Key.backspace
2019-02-22 20:58:03,579: Key.backspace
2019-02-22 20:58:03,848: Key.backspace
2019-02-22 20:58:04,152: Key.backspace
2019-02-22 20:58:04,774: 't'
2019-02-22 20:58:04,940: 'a'
2019-02-22 20:58:05,105: 'r'
2019-02-22 20:58:05,320: 't'
2019-02-22 20:58:06,515: 'u'
2019-02-22 20:58:06,773: 'p'
2019-02-22 20:59:18,601: Key.ctrl_l
2019-02-22 20:59:19,041: Key.ctrl_l
2019-02-22 20:59:19,065: Key.ctrl_l
2019-02-22 20:59:19,089: Key.ctrl_l
2019-02-22 20:59:19,113: Key.ctrl_l
2019-02-22 20:59:19,137: Key.ctrl_l
2019-02-22 20:59:19,139: 'c'
2019-02-22 20:59:19,291: 'c'
2019-02-22 20:59:19,430: 'c'
2019-02-22 20:59:19,575: 'c'
2019-02-22 20:59:19,735: 'c'
2019-02-22 20:59:28,987: Key.ctrl_l
2019-02-22 20:59:29,294: 'v'
